Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
calibrationPanel.xAndYGetOffsets	Robox should have produced a calibration pattern as shown in the illustration below - if there were any issues during printing, please return to the previous step and try again.\n\nRemove the print from the bed and look for the best alignment between the output from each nozzle (fill and fine) in the X and Y axes. Enter the number and letter which corresponds to the best aligned pair for each direction in the boxes below:				Robox a imprimé un modele de calibration comme le montre l’illustration ci-dessous - dans le cas ou un problème c’est produit durant l’impression, retourner a l’étape précédente et re-essayer. vous êtes en recherche du meilleurs alignement entre les sorties de chaque jets (fin et remplissage) sur les axes X et Y. Entrer les chiffres et les lettres correspondant au meilleur alignement de la paire pour chaque directions dans les cases ci-dessous.					Vaya despacio si el tiempo de capa <			Roboxen borde nu ha skrivit ut ett kalibreringsmönster i enlighet med bilden nedan - om det uppstod problem vid utskrift, gå tillbaka till föregående steg och försök sedan igen.\n\n Målet är att finna den bästa möjliga inriktningen mellan munstyckena på X- och Y-axlarna. Ange numret och bokstaven i rutorna nedan som bäst motsvarar paren i linjeför varje riktning:				Robox должен напечатать шаблон калибровки, как показано на рисунке ниже. Если во время печати возникли какие-либо проблемы, пожалуйста, вернитесь к предыдущему шагу и повторите попытку. \n\n Вам нужно найти лучшее выравнивание между выходом из каждого сопла (тонкого и заливки) по осям X и Y. Введите номер и букву, которая соответствует лучшему выравниванию пары для каждого направления в полях ниже:								Robox sollte nun ein Kalibriermuster, wie in der Abbildung unten gezeigt, erzeugt haben. Falls es irgendwelche Probleme während des Drucks gab, kehren Sie bitte zum vorherigen Schritt zurück und versuchen Sie es erneut.\n\nSuchen Sie nun nach der besten Ausrichtung zwischen dem Ausgang jeder Düse (Fülldüse und feine Düse) auf den X- und Y-Achsen. Geben Sie die Ziffer und den Buchstaben ein, welche dem in jeder Richtung am besten ausgerichteten Paar in den Boxen unten entsprechen:			Roboxin olisi nyt pitänyt tulostaa alla olevan kuvan mukaisen kalibrointikuvion - jos tulostuksen aikana ilmeni ongelmia, palaa edelliseen vaiheeseen ja yritä uudelleen.\n\nTavoitteena on löytää paras mahdollinen suuntaus suuttimien välillä X- ja Y-akseleilla. Syötä alla oleviin laatikoihin numero ja kirjain joka vastaa parhaiten linjassa olevaa paria jokaista suuntaa kohden:	
calibrationPanel.xAndYPrintingCircle	Robox will now print a circular test pattern to verify the alignment procedure. 				Robox va maintenant imprimer un cercle en haut a gauche afin de verifier la procedure d’alignement.					Umbrales de enfriamiento			Robox kontrollerar nu inriktningen genom att skriva ut en cirkel i övre vänstra hörnet.				Сейчас Robox напечатает круг в левом верхнем углу для проверки процедуры выравнивания.								Robox wird nun den Kreis in die linke obere Ecke drucken, um das Ausrichtungsverfahren zu verifizieren.			Robox tarkistaa nyt kohdistuksen tulostamalla ympyrän vasempaan yläkulmaan.	
calibrationPanel.xAndYPrintCircleCheck	The fine nozzle cross should lie exactly in the centre of the fill nozzle cross. If this is not well aligned, you will need to run the calibration procedure again. If you are satisfied, click Next to continue.				Le cerce imprimé avec le jet fin doit ce trouvé exactement au centre cerce imprimé par le jet de remplissage. Dans le cas l’alignement est incorrect, veuillez reprendre la procedure de calibration depuis le debut. Si vous êtes satisfait clicker sur Suivant pour continuer.					Habilitar impresora falsa			Finmunstyckets cirkel bör vara exakt i mitten av fyllningsmunstyckets cirkel. Om cirklarna inte är  väl i linje, måste kalibreringen utföras igen. När du är nöjd, klicka på Följande för att fortsätta.				Круг, напечатанный тонким соплом, должен лежать ровно в центре круга, напечатанного соплом заливки. В противном случае вам нужно будет снова запустить процедуру калибровки. Если вас все устраивает, нажмите кнопку "Далее", чтобы продолжить.								Der Kreis der feinen Düse sollte genau im Zentrum des Kreises der Fülldüse liegen. Wenn dieser nicht gut ausgerichtet ist, müssen Sie das Kalibrierverfahren erneut durchführen. Wenn Sie zufrieden sind, klicken Sie Next (weiter), um fortzufahren.			Hienosuuttimen ympyrän pitäisi olla täsmälleen keskellä täyttösuuttimen ympyrää. Jos ympyrät eivät ole hyvin linjassa, täytyy kalibrointi suorittaa uudelleen. Kun olet tyytyväinen, klikkaa Seuraava jatkaaksesi.	
cooling.bridgesFanSpeedLabel	Bridges fan speed	风扇速度	過橋時風扇速度		Bridges ?? Vitesse du ventilateur		브릿지 팬 스피드	Brückenlüfterdrehzahl		Diagnósticos			Bryggans fläkthastighet				Скорость вентилятора мостов	ファンスピードを調整して下さい							Brückenlüfterdrehzahl		Rychlost ventilátoru můstků	Sillan tuuletinnopeus	ファンスピードを調整して下さい
cooling.disableFanForFirst	Disable fan for first	禁用第一个风扇	第一層打印時關閉風扇		Desactivé le ventilateur pour le premier		첫번째 팬 비활성화	Lüfter zuerst deaktivieren		Todos los tipos de archivos AutoMaker (*.stl, *.obj)			Inaktivera fläkten först				Для начала отключите вентилятор	最初にファンを止めて下さい							Lüfter zuerst deaktivieren		Vypnout ventilátor na první	Poista tuuletin käytöstä ensin	最初にファンを止めて下さい
cooling.enableAutoCooling	Enable auto cooling	启动自动冷却	開啟自動冷卻		Activer refroidissement automatique		자동 냉각 활성화	Automatisches Kühlen aktivieren		Esta máquina no tiene el nivel necesario de apoyo 3D para ejecutar esta aplicación. Por favor, consulte el área de Soluciones en el portal de asistencia Robox para más información. Esta aplicación se cerrará ahora.			Aktivera automatisk kyldrift				Включите автоматическое охлаждение	オート冷却をできる様にして下さい							Automatisches Kühlen aktivieren		Povolit automatické chlazení	Ota automaattinen jäähdytys käyttöön	オート冷却をできる様にして下さい
cooling.enableFanIfPrintTimeBelow	Enable fan if layer time <	启动每层风扇的时间	開啟風扇-若打印層耗時低過		Activer le ventilateur si le temps de couche est <		레이어 시간이 < 이하일 경우 팬 활성화	Lüfter aktivieren, wenn Schichtzeit <		AutoMaker no puede detectar el tipo de máquina. La aplicación se cerrará.			Aktivera fläkten om lagertiden <				Включите вентилятор, если время слоя <	層時間が<    の場合ファンを動かして下さい							Lüfter aktivieren, wenn Schichtzeit <		Povolit ventilátor, pokud je doba tisku vrstvy <	Ota tuuletin käyttöön jos kerrosaika <	層時間が<    の場合ファンを動かして下さい
cooling.fanSettingsTitle	Fan settings	风扇设置	風扇設定		Regales des ventilateurs		팬 세팅	Lüftereinstellungen		Cancelar			Fläktinställningar				Настройки вентилятора	ファン設定							Lüftereinstellungen		Nastavení ventilátoru	Tuuletinasetukset	ファン設定
cooling.fanSpeedLabel	Fan speed	风扇速度	風扇速度		Vitesses des ventilateurs		팬 속도	Lüfterdrehzahl		Compruebe que la cama esté libre de obstrucciones			Fläkthastighet				Скорость вентилятора	ファンスピード							Lüfterdrehzahl		Otáčky ventilátoru	Tuuletinnopeus	ファンスピード
cooling.MaximumSpeed	Max speed	最大速度	最高速度		Vitesse maximum		최대 속도	Max. Drehzahl		Limpie la cama			Maxhastighet				Максимальная скорость	最大スピード							Max. Drehzahl		Maximální rychlost	Maksiminopeus	最大スピード
cooling.MinimumSpeed	Min speed	最小速度	最低速度		Vitesse minimum		최소 속도	Min. Drehzahl		Corte el modelo a la medida			Minimihastighet				Минимальная скорость	最少スピード							Min. Drehzahl		Minimální rychlost	Miniminopeus	最少スピード
cooling.minPrintSpeed	Min print speed	最小打印速度	最低打印速度		Vitess d’impression minimum		최소 프린트 속도	Min. Druckgeschwindigkeit		Proceder sin purgar el inyector			Minsta utskriftshastighet				Минимальная скорость печати	最少印刷スピード							Min. Druckgeschwindigkeit		Minimální rychlost tisku	Minimi tulostusnopeus	最少印刷スピード
cooling.slowFanIfBelow	Go slow if layer time <	减慢每层打印时间	減慢速度-若打印層耗時低過		Ralentir si le temps de couche <		레이어 시간이 < 이하일 경우 저속으로	Langsam werden, wenn Schichtzeit <		No purgar el material			Sakta ner om lagertiden <				Уменьшите, если время слоя <	層時間 <　　の場合ゆっくり行って下さい							Langsam werden, wenn Schichtzeit <		Postupovat pomalu, pokud je doba tisku vrstvy <	Hiljennä vauhtia jos kerrosaika <	層時間 <　　の場合ゆっくり行って下さい
cooling.thresholdsTitle	Cooling thresholds	冷却的阀值	冷卻定限		Seuils de refroidissement		냉각 한계치	Kühlschwellen		Continúe trabajando			Tröskelvärden för kylning				Пороги охлаждения	冷却しきい値							Kühlschwellen		Limity chlazení	Jäähdytyksen kynnysarvot	冷却しきい値
diagnosticPanel.enableNullPrinter	Enable fake printer	显示打印机资料	開啟虛假打印機		Activer fausse imprimante		모조 프린터 활성화	Druckersimulation aktivieren		No apague			Aktivera "fake printer"				Включить фальшивый принтер	プリンターを利かない様にする							Druckersimulation aktivieren		Povolit falešnou tiskárnu	Ota käyttöön "fake printer"	プリンターを利かない様にする
diagnosticPanel.title	Diagnostics	诊断	診斷		Diagnostics		진단	Diagnostik		Abortar trabajo actual			Diagnostik				Диагностика	診断							Diagnostik		Diagnostika	Diagnostiikka	診断
